Time,Engine RPM,Throttle Pos,Engine Temp,G Force Lat,G Force Long,G Force Vert,ADL Temp,5V Aux Supply,8V Aux Supply,Running Lap Time,Comms RS232 Diag,Bat Volts ADL,Lambda 1,Air Temp Inlet,Manifold Pres,Water Temp Post-Radiator,Fuel Actual PW,Fuel Inj Duty,Ign Advance,Brake Pressure Front,Brake Pressure Rear,G Force RSS,Fuel Base PW,Fuel AT Comp,Wheel Slip (Percent),Shock Pot Front Right,Shock Pot Front Left,Shock Pot Rear Left,Shock Pot Rear Right,Eng Oil Pres,Fuel Pres,Eng Oil Temp,Bat Volts ECU,Exhaust Temp,Susp Velocity FL,Susp Velocity FR,Susp Velocity RL,Susp Velocity RR,Drive Speed,Ground Speed,Odometer,Lap Number,Thr Pos Change,Oil Pressure Warning,Brake Temp Front,Brake Temp Rear,Calculated Gear Position,Steering Angle,Baro Pres,Fuel Temp,Pitot Tube 12.5mB,CAN 1 Bus Utilization,Air Temp Post-Radiator,Air Pressure Pre Radiator,Air Pressure Post Radiator,Water Pump Inlet Pressure,ECU Temp,Lap Distance,Bat Volts BR2,CAN 1 Transmit Error Count,CAN 0 Bus Utilization,PDM2 Errors,Pneumatic Line Pressure,Brake Bias Setting,Sync Rel Pos,Device Up Time,FAN2 Current,Water Temp Pre-Radiator,Water Pump Outlet Pressure,Wheel Speed FL,Wheel Speed FR,Wheel Speed RL,Wheel Speed RR,Radiator 1 Inlet Temp,Shifter Position,Clutch Position,Air Temp Pre-Radiator
0,3936,9.2,69,-0.18,0.36,-0.06,28.1,4.966,8.095,15.78,512,13.66,0.95,27.4,64.5,55.3,2.138,7,10,104.3,31.5,0.39,1.692,-1.4,-5.9,0.9441,0.8272,0.6965,1.0508,254,432.4,64.2,13.72,264,-264.7,-117.8,720.1,948.1,22.9,24.3,112137.8,0,-194,0,143,127,1,18,98,55.3,-140,6.3,48.9,0.5,96.6,-12.33,47.7,214,13.71,1,8.3,8,106.98,68.5,14.7,126.011,0.1,57,2.07,39.1,37.3,38,36.8,64.7,1491.9,-2670.6,31.6
0.5,3732,8.9,69.1,-0.56,0.12,0,28.1,4.966,8.095,16.78,512,13.68,0.95,27.3,65.5,55.3,2.128,7.3,10,41.2,64.5,0.57,1.688,-1.4,-15.3,1.1091,0.8366,0.5772,1.0898,253.7,431.8,64.3,13.75,266,243.6,-557.3,822,313.6,21.5,25.4,112137.8,0,-1413,0,136,115,1,74.2,98,55.3,-140,6.3,48.9,0.5,96.7,-12.34,47.7,219,13.71,1,8.3,8,106.96,77.2,16.4,127.011,0.1,57.1,2.06,40.9,35.1,40.1,34.6,64.7,1485.8,-2661.4,31.5
1,3873,15.9,69.2,-0.2,-0.19,-0.02,28.1,4.966,8.095,16.78,512,13.67,0.95,27.3,72.7,55.4,2.72,9.8,22.5,64.5,19.1,0.27,2.312,-1.4,-6.9,1.0724,0.9398,0.5638,0.8803,241.4,437.3,64.4,13.71,268,-781.2,-980.6,1576,1961.5,22,23.6,112137.8,0,-3222,0,150,118,1,43.2,98,55.3,-140,6.3,49,0.5,96.6,-12.32,47.7,225,13.7,1,8.3,8,106.95,62.9,16.8,127.011,0.1,57.1,2.12,38,33.9,37.4,35.4,64.7,1485.8,-2709.5,31.5
1.5,3405,8.3,69.2,-0.42,0.19,-0.01,28.1,4.966,8.095,17.78,512,13.66,0.95,27.3,65.2,55.4,2.124,6.1,10,74.1,31.5,0.45,1.684,-1.4,-13.5,1.0126,0.8138,0.6693,1.1209,227.1,434.3,64.4,13.72,268.1,-309.7,351.4,19.7,286.7,18.3,21.1,112137.8,0,-50,0,136,118,1,68.1,98,55.3,-140,6.3,49,0.5,96.6,-12.32,47.7,230,13.7,1,8.3,8,106.98,54.2,15,128.011,0.1,57.1,2.09,34,29.4,33.5,29.4,64.7,1485.8,-2661.4,31.5
2,2874,14.8,69.3,-0.3,0.2,-0.01,28.1,4.966,8.095,17.78,512,13.66,0.95,27.2,75.6,55.4,2.97,6.3,17.8,82.4,50.7,0.36,2.558,-1.4,-20.1,1.0409,0.8606,0.672,1.1012,197.1,436.1,64.4,13.73,270,47.2,-21.4,-6.1,0,14.3,17.9,112137.8,0,1139,0,150,129,1,105,98,55.4,-140,6.3,49.1,0.5,96.6,-12.32,47.8,234,13.72,1,8.2,8,106.98,65.4,15,128.011,0.1,57.1,2.08,28.8,23.5,27.8,23,64.8,1485.8,-2676.7,31.5
2.5,2553,10.8,69.4,-0.34,0.13,-0.04,28.1,4.966,8.095,18.78,512,13.67,0.95,27.2,76.9,55.4,2.382,5.3,10.8,49.4,63.1,0.36,1.952,-1.4,-21.7,1.0701,0.8917,0.6008,1.0787,186.7,437.7,64.5,13.71,268.8,-230,-154.2,312.8,498.1,14.3,18.3,112137.8,0,-364,0,150,125,1,105,98,55.4,-140,6.3,49.1,0.5,96.6,-12.32,47.8,238,13.73,1,8.2,8,106.97,74.1,15.7,129.011,0.1,57.1,2.09,29.4,23.9,28.2,23,64.8,1481.6,-2667.5,31.5
3,2493,15.9,69.5,-0.22,-0.23,0,28.1,4.966,8.095,18.78,512,13.67,0.95,27.2,80.1,55.4,3.468,7.3,17.1,64.5,17.8,0.31,3.084,-1.4,-8.8,1.1342,0.9709,0.5091,0.8524,179.2,434.6,64.5,13.73,268,695.1,786.2,-1685.4,-1836.8,14.1,15.4,112137.8,0,502,0,140,108,1,105.2,98,55.4,-140,6.3,49.2,0.5,96.6,-12.32,47.8,242,13.71,1,8.3,8,106.95,74,15.9,129.011,0.1,57.1,2.11,24.9,20.7,24.9,22.6,64.9,1465.3,-2829.3,31.6
3.5,2571,12.8,69.6,-0.29,-0.01,-0.01,28.1,4.966,8.095,19.78,512,13.68,0.95,27.2,78.9,55.4,2.896,6.5,12.9,30.2,34.3,0.29,2.49,-1.4,-20.1,1.0713,0.9331,0.5394,1.0134,177.2,437.2,64.6,13.74,266,187.5,11.4,-85.3,-43.9,13.7,17.1,112137.8,0,-324,0,129,108,1,105.2,98,55.4,-140,6.3,49.3,0.5,96.7,-12.32,47.8,246,13.71,1,8.3,8,106.98,75.1,15.5,130.011,0.1,57.1,2.1,27.6,22.3,26.6,22,64.9,1485.8,-2690,31.7
4,2847,25,69.6,-0.24,-0.24,-0.01,28.1,4.966,8.095,19.78,512,13.68,0.95,27.2,85.2,55.4,3.86,8.1,34.8,56.2,38.4,0.32,3.492,-1.4,-8.8,1.076,0.9457,0.5268,0.9429,172.1,437.1,64.7,13.73,264,453.1,264.2,-773.1,-1097.3,14.1,15.5,112137.9,0,2630,0,136,131,1,105.2,98,55.4,-140,6.3,49.4,0.5,96.6,-12.32,47.8,249,13.75,1,8.3,8,106.98,80.3,15.4,130.011,0.1,57.1,2.09,25,20.2,24.6,22.8,64.9,1485.8,-2746.3,31.8
4.5,2973,12.7,69.7,0.08,0.03,-0.03,28.1,4.966,8.095,20.78,512,13.69,0.95,27.2,77.9,55.4,2.56,6.4,14.9,42.6,63.1,0.1,2.144,-1.4,-1.8,0.952,0.9268,0.7224,0.9567,189.7,437.2,64.7,13.75,264,-113.9,75.6,-95.8,32.5,16.9,17.2,112137.9,0,-238,0,145,131,1,-10.6,98,55.4,-140,6.3,49.4,0.5,96.6,-12.32,47.8,253,13.77,1,8.3,8,106.98,80.2,15.5,131.011,0.1,57.1,2.09,27.3,27.7,27.2,27.6,64.9,1485.8,-2661.4,31.8
5,3519,35.2,69.7,0.12,-0.5,0.07,28.2,4.966,8.095,20.78,512,13.66,0.95,27.2,88.6,55.4,4.622,12.9,35,48,60.3,0.52,4.282,-1.4,1,1.0681,1.0016,0.5547,0.7614,203.7,435.3,64.7,13.74,263.3,-200.6,-303.9,459.2,177.5,20.3,20.1,112137.9,0,-362,0,151,122,1,-22.3,98,55.4,-140,6.3,49.5,0.5,96.6,-12.32,47.8,257,13.73,1,8.2,8,106.95,61.2,18.1,131.011,0.1,57.1,2.1,31.3,32.3,33.4,32.8,65,1491.9,-2900.9,31.9
5.5,4659,32.3,69.8,-0.04,-0.33,-0.01,28.2,4.966,8.095,21.78,512,13.68,0.95,27.2,78.9,55.4,3.844,14.3,35,60.3,13.6,0.35,3.474,-1.4,0.6,1.0874,0.9594,0.5154,0.7917,259.5,432.6,64.8,13.71,265.8,230.3,225.9,326.1,-164.2,26.7,26.5,112137.9,0,-101,0,135,115,1,5.5,98,55.4,-140,6.3,49.5,0.5,96.6,-12.32,47.8,262,13.7,1,8.2,8,106.99,46.4,17.6,132.011,0.1,57.1,2.07,42.6,41.4,43.2,43.1,65,1515.4,-2684.9,31.9
6,4785,8.3,69.8,-0.16,0.13,0.01,28.2,4.966,8.095,21.78,512,13.69,0.95,27.2,52.6,55.4,1.838,7.4,15.9,94.8,46.6,0.2,1.4,-1.4,-3.2,1.0134,0.8791,0.6287,0.9949,299.7,435.5,64.8,13.72,269.6,1111.8,842.3,268.1,777.6,29,30,112137.9,0,-472,0,138,112,1,15.7,98,55.4,-140,6.3,49.6,0.5,96.7,-12.32,47.8,269,13.69,1,8.3,8,106.98,46.9,19.1,132.011,0.1,57.1,2.06,48.2,46.4,48.1,46.6,65.1,1559.5,-2640.9,32
6.5,4386,8.4,69.9,-0.02,0.4,-0.05,28.2,4.966,8.095,22.78,512,13.68,0.95,27.2,51.9,55.4,1.988,7.2,13.8,269.2,179.9,0.41,1.558,-1.4,-1.1,0.9236,0.8315,0.7898,1.0697,284.3,433.3,64.8,13.75,270.7,19.7,400.9,924.8,968.4,24.5,24.8,112137.9,0,0,0,143,111,1,-1.1,98,55.4,-140,6.3,49.7,0.5,96.6,-12.32,47.8,275,13.69,1,8.3,8,106.99,51,17.6,133.011,0.1,57.1,2.08,39.8,39.7,39.8,39.4,65.1,1531.9,-2657.2,32
7,3171,8.3,70,-0.44,0.13,-0.04,28.2,4.966,8.095,22.78,512,13.69,0.95,27.1,63.9,55.4,2.128,5.7,10,31.5,48,0.46,1.698,-1.4,-12.1,1.0047,0.8146,0.6264,1.0618,229.3,433.9,64.8,13.71,270.8,-133.1,304.7,-218.4,595.9,18.7,21.3,112137.9,0,0,0,142,132,1,54.6,98,55.4,-140,6.3,49.8,0.5,96.7,-12.32,47.8,280,13.72,1,8.3,8,106.98,67.9,16.2,133.011,0.1,57.1,2.1,34.3,30,33.3,30.1,65.2,1485.8,-2686,32.1
